@lat	@lon	name	ele
34.9768561	135.8529991	音羽山	593
34.5799792	135.4614547	蘇鉄山 (Mt.Sotetsu)	6.84
34.6580717	135.4327095	天保山	4.53
34.7417452	135.8436746	鹿背山	141
34.1706779	136.0910150	大蛇嵓	1578
34.6518614	135.5114555	茶臼山	26
34.1852051	136.1091900	日出ケ岳	1695.1
34.8966142	136.3488489		556
34.9089596	134.4486187	三濃山	509
34.9448311	134.4263764	三原栗山	341
34.4194311	135.6728906	金剛山	1125
34.4562073	135.6822879	大和葛城山	959
34.6127679	135.6683119	信貴山	437
34.6168947	135.6575529	高安山	487.5
34.2376500	135.9236417	稲村ヶ岳	1726
35.0505175	136.0375777	三上山	432
34.9352130	135.6238220	ポンポン山	679
35.1194147	136.4450869	竜ヶ岳	1099
34.0395116	135.7511808	法主尾山	1024.4
34.0639117	135.7787976	高時山	1055
33.9982328	135.7669564	行仙岳	1091.6
33.9830591	135.8097116	大森山	794.1
33.9601830	135.8086469	斧山	829
33.9738565	135.7841385	小原峰	862.6
34.0386408	135.8327002	石佛山	1158
34.0652818	135.8281649	天竺山	1024.8
34.0349485	135.8591671	中八人山	1396.9
34.0773595	135.9003951	地蔵岳	1464
34.1344405	135.9130671	仏生嶽	1805.1
34.0582520	135.8968952	涅槃岳	1376.2
34.0246488	135.9097744	転法輪岳	1281.5
34.6911730	135.8542650	若草山	342
34.5614610	135.8745350	龍王山	586
34.5353337	135.8674352	三輪山	467.1
34.4925214	135.7848772	畝傍山	198.8
34.5147899	135.8053458	耳成山	139.2
35.0715327	136.6662829	高塚山	88.3
35.0259560	136.4225445	国見岳	1170
35.0204975	136.4186261	御在所山	1212
35.0657019	136.4414559	釈迦ヶ岳	1192
35.0012522	136.4212645	鎌ヶ岳	1161
35.0204719	136.4177327	望湖台 (御在所岳最高点)	
35.0564141	136.4664198	尾高山	
35.4177714	136.4062612	伊吹山	1377
34.8755358	134.7046113	広峰山	260
34.8683367	134.7172015	増位山	259
34.8230479	134.6750120	手柄山	49.3
34.7155363	135.5794709	鶴見新山	39
34.9153046	135.8222910	高峰山	298
34.8260215	134.5936173	檀特山	165
34.7669363	135.2987870	ゴロゴロ岳	565.5
34.7160199	135.8255423	州見山	
34.3209015	135.9099183	四寸岩山	1235.6
34.0905121	136.2062267	天狗倉山	522
34.6784655	135.6789968	生駒山	642.3
34.6363833	135.7270519	松尾山	315.4
34.8304955	135.9085133	鷲峰山	682
34.7263952	135.6535197	飯盛山	314.3
34.5587549	135.9689571	額井岳	812.3
34.5603023	135.9462378	貝ヶ平山	821.3
34.4287120	136.0884284	高見山	1248.4
34.5223358	135.6757000	雌岳	437.9
34.5895277	135.6772951	三室山	137.1
34.2524146	135.9410475	山上ヶ岳	1719
34.0774323	135.6503104	伯母子岳	1344
34.6147611	135.8940790	高峰山	632.2
34.5850792	135.9592061	都介野岳	631.2
34.5057553	136.0273001	三郎岳	878.8
34.5049020	135.9665800	伊那佐山	636.9
34.5056779	136.0198274	高城山	810
34.1735825	135.9075327	八経ヶ岳	1915.1
34.1701284	135.9035053	明星ヶ岳	1894
34.2278804	135.9627949	大普賢岳	1780.1
34.3413894	135.8879455	青根ヶ峰	857.9
34.6668792	135.8699038	高円山	461
34.9670127	135.7855255	稲荷山	233
34.2204635	135.5724124	弁天岳	984
34.2232122	135.6019115	転軸山	930
33.9044653	135.1083055	西山	328.7
33.9487051	135.0743795		
34.2807666	135.0059214	コウノ巣山	119.9
33.6714903	135.3481240	平草原 (Heisōgen)	131.6
34.3083781	135.2078614	爼石山	420
34.3479808	135.4343472	和泉葛城山	858
34.8871237	135.5007154	石堂ヶ岡	680.06
34.2038699	135.6347045	陣ヶ峰 (Jingamine)	1106.2
34.1143522	135.9031349	釈迦ヶ岳	1800.0
34.1037452	135.9051892	大日岳	1568
34.2379984	135.4113328	龍門山	756
34.0361820	135.5081122	城ヶ森山	1268.8
35.1449195	136.0822780	八幡山	271.8
35.0641473	134.8345860	笠形山	934
34.9085658	134.8566182	飯盛山	124
34.8785227	134.8311877	善防山	251
34.8837219	134.8181938	笠松山	243
35.3539523	134.5137441	氷ノ山	1509.6
34.7584186	134.9996656	雌岡山	249
34.7588717	135.0225557	雄岡山	241.2
34.7749361	135.3295499	甲山	309
34.7780061	135.2637419	六甲山	931
34.7329839	135.2048816	摩耶山	702
34.7186354	135.1780198	再度山	470
34.6976391	135.1805000	諏訪山	151
34.6764999	135.1302499	高取山	328
34.9707781	134.8093323	深山	408.2
34.3502480	135.8780750	高城山	698
35.0158611	134.7036940	七種山	683
35.1447342	134.8839089	千ヶ峰	1005.2
35.0012170	134.6531080	明神山	667;9
34.7087865	135.1528058	菊水山	458.8
35.3953935	134.5363477	鉢伏山	1221.6
35.0728141	134.6512111	雪彦山	915.2
34.7944297	135.2478767	愛宕山	461
34.1596899	134.8169464	おのころ山	117.1
34.1726281	134.8252043	石仏山	114
35.0196690	135.8116966	大文字山	465.3
35.2090000	134.3801390	ダルガ峰	1163
34.9273409	134.8252334	寺山	122.9
35.1953152	135.0997591		151.1
35.1954672	135.0966575		
35.2111693	135.1071817		390.6
34.9289070	135.4673394	妙見山	660
34.6491613	134.4351014		75
33.9489939	135.6311720	牛廻山	1206.9
33.9265887	135.8316121	玉置山	1076.4
34.6522681	134.4669790		187
34.6711182	134.5183170		108
35.0728135	134.6512124	雪彦山	915.1
34.6321080	134.4980956		106
35.2057368	136.0584723	ケンケン山	210
35.2079907	136.0660550	蓬莱山尾山	220.17
35.1996759	136.0529334	頭山	139.8
34.9981048	135.7172379		
35.1868601	134.4112411	後山	1344
34.3160982	136.1295442	池木屋山	1396
34.3758096	136.0867034	国見山	1419
34.4605240	136.3271188	局ヶ岳	1029
34.7339884	136.2964485	笠取山	842
34.5309043	136.1702984	倶留尊山	1037
34.4610906	136.7815797	朝熊ヶ岳	555
34.3730301	136.5157116	七洞岳	778
35.3917918	135.8100902	百里ヶ岳	931.4
35.3774127	135.5343577	頭巾山	871
34.0158266	135.3721973	白馬山	957
34.0574210	135.5671363	護摩壇山	1372
33.7268575	135.7137311	大塔山	1122
33.7258665	135.6653068	法師山	1121
33.6962551	135.9007599	那智山	910
33.5936520	135.5469135	善司ノ森山	591.5
35.6952214	135.2042135	太鼓山	683
35.4535447	135.1067479	大江山	832
35.5485450	135.0381752	磯砂山	661
35.0600453	135.6342851	愛宕山	924
35.1592046	135.7172261	桟敷ヶ岳	896
35.3032171	135.4738848	長老ヶ岳	917
34.7517292	135.9505987	笠置山	324
35.2021588	135.8351716	皆子山	971
35.5501872	136.3371696	金糞岳	1317
35.1272119	135.2449947	三嶽	793.2
35.6210809	134.5627476	久斗山	650
35.0033568	135.4038438	剣尾山	784
34.4972352	134.9434705	妙見山	522
35.4105253	134.6439080	妙見山	1139
34.8927615	134.6563686	書写山	371
35.6119550	134.7854563	来日岳	566.6
35.4219332	134.9158191	東床尾山	838.9
35.2727763	134.9155234	栗鹿山	962.3
34.9741314	135.4766771	歌垣山	553
35.2647188	135.8969565	武奈ヶ岳	1214
35.1916092	134.7275510	段ヶ峰	1103
34.9082107	134.3807864	白旗山	440
35.0461160	135.1347363	白髪岳	721.5
35.2094908	135.8857276	蓬莱山	1173.9
35.2666632	134.6005355	藤無山	1139
35.4707925	134.6380834	蘇武岳	1074.4
35.0210866	136.3841707	雨乞岳	1238
34.4395354	135.9247879	烏ノ塒屋山	659.0
34.4406061	135.8976815	竜門岳	904.1
34.6814199	135.8525370	春日山	297
34.5738346	135.6757693	明神山	273.6
33.8990996	135.6528013	冷水山	1262.3
33.8880319	135.2755862	真妻山	523.4
34.0922111	135.1521562	明神山	355.3
34.1050733	135.3340718	生石ヶ峰	870
34.4487017	136.2062574	三峰山	1235.2
34.6679025	135.9966015	神野山	618.4
34.8811871	135.5883374	三好山（芥川山城跡）	180
35.0658036	135.8344169	大比叡	848.1
35.0740133	135.8593556	八王子山	381
34.3244582	136.7880977	横山	203
34.9702470	136.1809801	古城山	282.8
34.9544163	136.1661656	盆天山	245.8
34.9441965	136.1098859	飯道山	664.0
34.3561252	136.8005419	五郎山	126.4
34.7705255	135.3018273	展望ポイント	
34.7745979	135.3031251	観音山	526
34.8659965	135.5216715	鉢伏山	299
34.7865239	135.7095325	交野山	341
34.7689111	135.3041723	ガベノ城	483
34.4257127	134.8090752	竜宝寺山	254.4
34.2348478	134.8141926	諭鶴羽山	607.9
34.5040238	134.9524990	釜口山 (Mt. Kamaguchi)	475.7
35.1444374	136.6260105	多度山	402.8
35.2336375	136.1977773	荒神山	284
34.2354825	135.6067602	楊柳山	1008.6
34.2277918	135.6126313	摩尼山	1004
34.6616518	135.6654906	旗立山	486
34.7945551	135.2426581	落葉山	533
34.9240198	135.2305168	有馬富士	374
34.6825546	135.8793584	芳山	517.9
34.6796590	135.8798036	芳山南峰	520
35.6015446	136.2615830	横山岳	1131.7
34.9629561	135.8982933	伽藍山	239
34.2907254	135.6100271	国城山頂	552
33.9066361	135.9750418	大人平山	668.2
33.8918410	135.9675727	玉置山	777
33.8822870	135.9617921	白倉山	736
33.8893910	136.0082860	妙見山	749.1
33.8708018	136.0083021	西ノ峯山	593.5
33.8682184	135.9881050	高チラ山	625
33.8795402	135.9821800	鵯山	813
33.8797718	135.9896768	鷲ノ巣山	807
33.8893737	136.1009470	要害山	
34.9952515	134.5202216	国見山	465
34.4007741	136.8683959	浅間山	201
34.4089118	136.8241516	青峰山	336
35.2796309	136.2694022	佐和山	232
34.9581015	135.8634723	千頭岳	600
34.8988776	135.5492023	竜王山	509
34.8655667	134.5393231	白鷺山	121.2
34.9448638	134.5177653	高倉山	426.9
34.8726640	134.5449932	鶏籠山	218
35.3900440	134.5227510	高丸山	1070.2
35.3659819	134.5028961	赤倉山	1332
35.4338200	134.4860710	仏の尾	1227
34.9017576	135.6767274	天王山	270
33.7286457	135.9805417	権現山	253
35.0446298	135.7298163	大文字山	231
35.0562687	135.7026808	沢山	515.6
34.9320909	135.6347286	釈迦岳	630.8
34.9617711	135.6342040	小塩山	642
34.9709812	135.6439884	大暑山	567.6
34.9294603	135.5872043	金比羅山	560.9
34.9088504	135.5806859	高ヶ尾山	480.3
34.8504367	136.6043038	岸岡山	
34.7714407	134.5407654		58
34.7751245	134.5429649	綾部山	144.3
34.7790196	134.5343818		133
34.7719176	134.5576048		53.1
34.7754251	134.5629585		39
34.2924669	135.0204900		53.5
34.0588811	135.5745679	龍神岳	1382
34.0579103	135.5804898	耳取山	1363
34.4837701	136.7346315	貝吹山	90.6
34.3886802	136.7139284	八大竜王	366
34.3877549	136.7252594	八祢宣山	426
34.3335747	136.6464777	鶴路山	291.7
34.3047290	136.7042750	浅間山	181.7
34.2717898	136.7762986	金比羅山	99
34.3561194	136.4532025	浅間山	733
34.3090473	136.4583690	三谷山	518
34.1191740	136.1472640	橡山	1008
34.2828049	136.6219119	局ヶ頂	310
34.2993082	136.5556035	高山	497
34.2663410	136.4252790	有地山	555
34.2340831	136.4178606	姫越山	502
34.1448844	136.1497347	樫山	958
34.0031487	136.0956355	保色山	1028
33.9493416	136.1313703	龍門山	688
33.9347381	136.0449930	天神丸山	784.3
34.0085703	136.0632455	高代山	937
34.2809104	136.1463066	国見山	1283
34.2461168	136.2176558	仙千代ヶ峰	1099
34.2204920	136.1970870	大河内山	875
34.1935477	136.0941492	三津川落山	1654
34.3222040	136.1630037	江股ノ頭	1269
34.3245920	136.1884350	白倉山	1236
34.3157207	136.1982125	古ヶ丸山	1210
34.4204318	136.2050741	高鉢山	788
34.4081217	136.2983052	三条山	663
34.3037032	136.3707098	行者山	667
34.2046727	135.9447934	行者還岳	1546
34.2156845	135.9535484	七曜岳	1584
34.2215425	135.9538132	国見岳	1655
34.2443428	135.9551991	竜ヶ岳	1725
34.2347749	136.0248547	伯母ヶ峯	1262
34.2929459	136.0469316	白鬚岳	1378
34.5059400	136.4074474	白猪山	819
34.4489337	136.8173446	丸山	288
34.4851815	136.8400813	日和山	69
34.4917610	136.8895039	大山	236
34.4259580	136.6917640	鷲嶺	548
34.4365127	136.6944241	前山	528
34.4585560	136.7084369	鼓ヶ岳	355
34.4163727	136.6435116	神岳	492
34.3868865	136.6376353	牛草山	550
34.3635679	136.6776235	龍仙山	402
34.4820829	136.6994032	高倉山	117
34.4517493	136.6128954	大日山	302
34.4488893	136.5816824	国束山	411
34.4742486	136.5699813	浅間山	138
34.4900596	136.5669741	城山	128
34.5082518	136.4737621	大明神山	399
34.5465528	136.4328519	堀坂山	757
34.5617732	136.4399262	観音岳	605
34.5790864	136.4502865	鉢ヶ峰	420
34.5937496	136.4544308	桝形山	312
